item,description,price,image
Signature Iced Coffee,"Coffee Base, milk, whipped cream",29,https://images.deliveryhero.io/image/talabat/Menuitems/SIGNATURE_ICED_COFFE_637172914444363288.jpg?width=172&amp;height=172
Coca-Cola,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Coca-Cola_330ML_636975161561373261.jpg?width=172&amp;height=172
Fanta,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Fanta_Orange_330ML_636975161571412889.jpg?width=172&amp;height=172
Small Local Water,,11,
Large Local Water,,14,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637527874200154787?width=172&amp;height=172
Small Imported Water,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637527873725399143?width=172&amp;height=172
Large Imported Water,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637527873993181881?width=172&amp;height=172
Small Sparkling Water,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637527874435741327?width=172&amp;height=172
Large Sparkling Water,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637527874672041686?width=172&amp;height=172
Sprite,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Sprite_330ML_637375953541807044.jpg?width=172&amp;height=172
Coca-Cola Zero,,14,https://images.deliveryhero.io/image/talabat/Menuitems/Coca_Cola_Zero_355_ml_637375953546519705.jpg?width=172&amp;height=172
Espresso,Espresso,16,https://images.deliveryhero.io/image/talabat/Menuitems/ESPRESSO-01_637172914497805309.jpg?width=172&amp;height=172
Hot Mocha,"Chocolate, Coffee and Milk",26,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889057435216567?width=172&amp;height=172
Pistachio Latte,Coffee,29,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889058015435059?width=172&amp;height=172
Spanish Latte,,29,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889058352971254?width=172&amp;height=172
Morning Fuel for 10,"10 Manakeesh, 2 vegetable plates, 10 juices",299,https://images.deliveryhero.io/image/talabat/Menuitems/1D5321FB5DA11EBC6E8D6F3600A104EF?width=172&amp;height=172
Office Gathering for 10,"10 wraps, 5 side fries , 5 side salads, 10 beverages",399,https://images.deliveryhero.io/image/talabat/Menuitems/DE392578C6C85F1A51AE051F2018D9B0?width=172&amp;height=172
Party Platters For 4,"4 wraps, 2 sides, 4 drinks",159,https://images.deliveryhero.io/image/talabat/Menuitems/B749F1825691106E8260E3FAA260E3BC?width=172&amp;height=172
Party Platters For 8,"8 wraps, 4 sides, 8 drinks",309,https://images.deliveryhero.io/image/talabat/Menuitems/E5556995C4CD3402C67C75077F9CE28E?width=172&amp;height=172
The Talabat Meal,"1 Chicken Wrap, side salad and soft drink",41,https://images.deliveryhero.io/image/talabat/Menuitems/1866C77C49B061C0B9EEA1413BA9ECDA?width=172&amp;height=172
The Morning Deal,"One Manakeesh, side vegetable plate, fresh juice",29,https://images.deliveryhero.io/image/talabat/Menuitems/347759817EAAA588821313BC7C1C321B?width=172&amp;height=172
The One,"One wrap, one hot appetizer, one soft drink.",49,https://images.deliveryhero.io/image/talabat/Menuitems/272DF56E49ED17B560FCC972146656C5?width=172&amp;height=172
The Duo,"two wraps, one Teaser, two soft drinks",71,https://images.deliveryhero.io/image/talabat/Menuitems/1F272088EBD75A179A70690D8AB8D1DF?width=172&amp;height=172
The Pizza Pair,"Two Pizzas, one hot appetizer, two soft drink",90,https://images.deliveryhero.io/image/talabat/Menuitems/821D2D4B78E937BEC3C413409B3BA7E3?width=172&amp;height=172
Amazing Tuna,"Prime Tuna mixed with Mayo , Topped with Corn and Lettuce, wrapped in multigrain flatbread",20,https://images.deliveryhero.io/image/talabat/Menuitems/B964A519C8CCA9A511A1BCE914D4D098?width=172&amp;height=172
Baked Falafel,"Delicately spiced falafel mix seasoned spread on regular dough with sesame syrup and topped seasoned with parsley, fresh mint leaves, tomatoes, turnip and radish.",17.6,https://images.deliveryhero.io/image/talabat/Menuitems/64A28EAA2A91D65BE00D029472544506?width=172&amp;height=172
Bbq Steak,"Marinated beef with bell pepper, rocket leaves, onions, melted cheese and bbq sauce (with Mayo base) on top.",29.6,https://images.deliveryhero.io/image/talabat/Menuitems/68FE0F5633C0EECD02D2CA496CDE24D9?width=172&amp;height=172
Chicken Escalope,"Fried chicken escalope with lettuce, tomatoes, pickles and aioli sauce.",24,https://images.deliveryhero.io/image/talabat/Menuitems/06A303048D044D2BE9ABF0A492F4F3D3?width=172&amp;height=172
Chicken Light,"Roasted chicken topped with tomatoes, lettuce, pickles and light aioli sauce.",25.6,https://images.deliveryhero.io/image/talabat/Menuitems/7A7C769BEB8D45113DB6B800B3D8729C?width=172&amp;height=172
Famous Chicken,"Roasted chicken with melted cheese, lettuce, tomatoes, pickles and aioli sauce on top.",26.4,https://images.deliveryhero.io/image/talabat/Menuitems/7C376D682BE139DB15D16EBFB33B636E?width=172&amp;height=172
Frankfurter,"Slices of Frankfurter with melted cheese, topped with mayo and ketchup.",23.2,https://images.deliveryhero.io/image/talabat/Menuitems/E92538A696D49E0CE4B404954DBAAA81?width=172&amp;height=172
Halloumi & Beef Bacon,Halloumi cheese and beef bacon wrapped in oat dough and topped with tomatoes and mayo.,25.6,https://images.deliveryhero.io/image/talabat/Menuitems/FF5ECBEC506504954A06F9D825F61ED8?width=172&amp;height=172
Hummus Avocado,"Our signature hummus on oat flat bread with chili spread & topped with avocado, tomato, olive oil, basil & a mix of grilled eggplant, bell pepper & sesame seeds.",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/201EF2D85C709021824715437C828558?width=172&amp;height=172
Low-cal Turkey & Cheese,"Melted cheese topped with slices of turkey, pickles, lettuce and tomatoes seasoned with our light mustard sauce.",26.4,https://images.deliveryhero.io/image/talabat/Menuitems/267EF5E4DA185EA003BA55DB4F2F700A?width=172&amp;height=172
